text;lang;country
Les sénégalais sur twitter après le match #kebetu #senegal #MansNotHot #FIFA #WorldCupqualifiers #WorldCup2018 https://t.co/5WgjvEzegx;fr;
Débat lancé 18h30 #CIVMAR ⚽️ vos pronostics? #RT vic #Maroc #Fav victoire #civ bonne chance à mon frere… https://t.co/LpIj0F9LsZ;fr;
RT @DjabaliSamir: Débat lancé 18h30 #CIVMAR ⚽️ vos pronostics? #RT vic #Maroc #Fav victoire #civ bonne chance à mon frere… ;fr;
Trophée avant l'heure!!! https://t.co/sUAotjnwdN;fr;
Ravi du retour du #senegal sur la scène internationale Bravo les frères on est ens 👏 #worldcup2018 @rickyfaty… https://t.co/rVJCyzuOGD;fr;
AbdoulayeWade_ n'a pas eu la change de voir l'équipe du #Senegal qualifiée en #WorldCup2018 à #Dakar. Macky_Sall…  Vía Lesadikh01;fr;
"Tellement vrai 😂😂😂

#YesWeCan #ROADTORUSSIA #Maroc #Morocco #WorldCup #FIFA #Allo_beIN #Afrique #المغرب #روسيا… https://t.co/WPzPSdA0mt";fr;
Inchallah qu'on se qualifie on est tous derrière vous courage on vous soutien vous êtes les meilleurs. À  Ne pas ou… https://t.co/AogCeTJDjX;fr;
"Par amour à la patrie et par amour au sport..... ainsi que pour l’histoire!!!
#CIVMAR #RoadToRussia #Russia2018… https://t.co/B80TqFusng";fr;Royaume du Maroc
Aujourd’hui on prie pour la Tunisie et pour ce qui est de Maroc - Côte d’Ivoire, que le meilleur se qualifie 🤷🏿‍♂️… https://t.co/0iGEtHdZcJ;fr;
RT @Lartiste92: Aujourd’hui on prie pour la Tunisie et pour ce qui est de Maroc - Côte d’Ivoire, que le meilleur se qualifie 🤷🏿‍♂️… ;fr;
"RT @Mehdi_Na: Par amour à la patrie et par amour au sport..... ainsi que pour l’histoire!!!
#CIVMAR #RoadToRussia #Russia2018… ";fr;
"Le Maroc 🇲🇦 jouera face à la Côte d’Ivoire avec un maillot blanc
#ROADTORUSSIA #Maroc #Morocco #WorldCup #FIFA… https://t.co/Ieh274mp8U";fr;
"L'Algérien que je suis pense et espère  que le maroc ira a la coupe du monde. 
 @najetrami #CIVMAR #WorldCup2018";fr;
"Aller #Civ !
Sortez moi le #maroc. #CIVMAR 

#WCQ2018 #Russia2018 https://t.co/kSEAGQeApr";fr;
"RT @soukomalado: Aller #Civ !
Sortez moi le #maroc. #CIVMAR 

#WCQ2018 #Russia2018 https://t.co/kSEAGQeApr";fr;
Bravo à nous https://t.co/nzMRHuDRhU;fr;
pardonnez on sais que c'est au MAROC vous prenez l'argent pour payer les fonctionnaire et les mutins, mais pensez a… https://t.co/3CmwcqqB5i;fr;
Jour du match! Montrons notre fierté pour la Côte d’Ivoire. Côte d’Ivoire – Maroc, ce soir, 17:30 à Abidjan. #WCQ… https://t.co/ySUZNH8ObL;fr;
RT @WilmotsMarc: Jour du match! Montrons notre fierté pour la Côte d’Ivoire. Côte d’Ivoire – Maroc, ce soir, 17:30 à Abidjan. #WCQ… ;fr;
"Je t'ai déjà dit ""Dans tes rêves "" 😂😂 https://t.co/M61HkE9N9p";fr;
pardonnez on sais que c'est au MAROC vous prenez l'argent pour payer les fonctionnaire et les mutins, mais pensez … https://t.co/mPNwBALM5W;fr;
"Les Ivoiriens ont leur fierté.
À vous de nous donner notre dignité. https://t.co/3UYIR73V6R";fr;
Normal ... il joue sa tête https://t.co/LP7mK6iYac;fr;
"Go Gaïndé 
Congrats Lions👏👏👏😍😍
#RSASEN #Russia2018 #WorldCup2018 https://t.co/moG7DD22DO";fr;
Ne pas titularisé kessie, adama traore et kalou sera petite victoire pour commencer https://t.co/GHMszRYnI3;fr;
Champion faut te concentrer https://t.co/TlUlhyIabg;fr;
@IGanaGueye bo démoul kéne dou deme #worldcup2018 #Senegal https://t.co/Q69Ut5646k;fr;
mdr votre infographiste il est éclaté mr.wilmots https://t.co/YimCPQD2DO;fr;
RT @whoisrachid: mdr votre infographiste il est éclaté mr.wilmots https://t.co/YimCPQD2DO;fr;
"RT @Sirkonate: Les Ivoiriens ont leur fierté.
À vous de nous donner notre dignité. https://t.co/3UYIR73V6R";fr;
